anchor_id,public_id,org_id,status,chain_tx_id,txid_len,valid_txid_format,fixture_seeded,created_at
aaaaaaaa-0000-0000-0000-000000000010,ARK-ORG-001,aaaaaaaa-0000-0000-0000-000000000001,SECURED,arkova_org_tx_001,17,false,true,2026-05-13 16:23:30.575557+00
cccccccc-0000-0000-0000-000000000001,ARK-DEMO-001,,SECURED,abc123def456abc123def456abc123def456abc123def456abc123def456abcd,64,true,true,2026-07-28 16:23:30.575557+00
cccccccc-0000-0000-0000-000000000002,ARK-DEMO-002,,SECURED,def456abc123def456abc123def456abc123def456abc123def456abc123def4,64,true,true,2026-07-12 16:23:30.575557+00
cccccccc-0000-0000-0000-000000000003,ARK-ORG-WZ5JMB,,PENDING,,,,true,2026-08-11 14:23:30.575557+00
cccccccc-0000-0000-0000-000000000004,ARK-DEMO-004,,SECURED,ghi789abc123ghi789abc123ghi789abc123ghi789abc123ghi789abc123gh78,64,false,true,2026-07-22 16:23:30.575557+00
cccccccc-0000-0000-0000-000000000005,ARK-DEMO-005,,SECURED,jkl012abc123jkl012abc123jkl012abc123jkl012abc123jkl012abc1230a,62,false,true,2026-06-27 16:23:30.575557+00
cccccccc-0000-0000-0000-000000000006,ARK-PAT-ECDMJU,,SUBMITTED,mno345abc123mno345abc123mno345abc123mno345abc123mno345abc1230a,62,false,true,2026-08-11 15:53:30.575557+00
cccccccc-0000-0000-0000-000000000007,ARK-DEMO-007,,SECURED,pqr678abc123pqr678abc123pqr678abc123pqr678abc123pqr678abc1230a,62,false,true,2026-08-09 16:23:30.575557+00
cccccccc-0000-0000-0000-000000000010,ARK-DEMO-010,bbbbbbbb-0000-0000-0000-000000000001,SECURED,stu901abc123stu901abc123stu901abc123stu901abc123stu901abc12301,62,false,true,2026-08-01 16:23:30.575557+00
cccccccc-0000-0000-0000-000000000011,ARK-DEMO-011,bbbbbbbb-0000-0000-0000-000000000001,SECURED,vwx234abc123vwx234abc123vwx234abc123vwx234abc123vwx234abc12301,62,false,true,2026-06-12 16:23:30.575557+00
cccccccc-0000-0000-0000-000000000012,ARK-DOC-Z23RDN,bbbbbbbb-0000-0000-0000-000000000001,PENDING,,,,true,2026-08-11 15:23:30.575557+00
4bd6cc01-dc6a-4d6e-ae0a-d7d272e5aa9a,ARK-2026-9E74FF50,bbbbbbbb-0000-0000-0000-000000000001,PENDING,,,,false,2026-08-11 16:27:48.717702+00
